filename,row,col,x,y,w,h,area,label
img1_r02_c09.png,2,9,1596,374,26,24,220,
img1_r02_c10.png,2,10,1678,370,17,32,251,
img1_r02_c11.png,2,11,1761,364,33,45,408,
img1_r02_c12.png,2,12,1833,375,26,32,363,
img1_r02_c13.png,2,13,1891,365,20,43,423,
img1_r02_c14.png,2,14,1954,363,31,42,309,
img1_r02_c15.png,2,15,2030,353,25,47,725,
img1_r02_c16.png,2,16,2089,349,26,45,534,
img1_r03_c00.png,3,0,424,438,27,28,456,
img1_r03_c01.png,3,1,613,442,25,27,224,
img1_r03_c02.png,3,2,668,434,20,36,274,
img1_r03_c03.png,3,3,713,432,26,41,451,
img1_r03_c04.png,3,4,796,441,26,34,280,
img1_r03_c05.png,3,5,886,429,24,51,589,
img1_r03_c06.png,3,6,987,441,24,49,325,
img1_r03_c07.png,3,7,1059,441,21,50,643,
img1_r03_c08.png,3,8,1098,439,28,48,432,
img1_r03_c09.png,3,9,1378,445,21,31,487,
img1_r03_c10.png,3,10,1669,453,17,29,222,
img1_r03_c11.png,3,11,1749,440,34,49,451,
img1_r03_c12.png,3,12,1828,453,20,32,232,
img1_r03_c13.png,3,13,1885,444,27,41,568,
img1_r03_c14.png,3,14,1944,439,31,39,280,
img1_r03_c15.png,3,15,2022,426,28,53,733,
img1_r03_c16.png,3,16,2087,418,27,49,514,
img1_r04_c00.png,4,0,415,515,23,24,380,
img1_r04_c01.png,4,1,606,519,22,27,220,
img1_r04_c02.png,4,2,652,517,20,33,277,
img1_r04_c03.png,4,3,697,512,33,42,452,
img1_r04_c04.png,4,4,794,514,35,41,400,
img1_r04_c05.png,4,5,882,518,16,44,340,
img1_r04_c06.png,4,6,977,532,19,40,249,
img1_r04_c07.png,4,7,1052,522,22,51,652,
img1_r04_c08.png,4,8,1092,518,26,50,581,
img1_r04_c09.png,4,9,1381,523,20,24,328,
img1_r04_c10.png,4,10,1672,515,18,36,275,
img1_r04_c11.png,4,11,1754,511,33,38,384,
img1_r04_c12.png,4,12,1826,516,26,40,533,
img1_r04_c13.png,4,13,1890,515,24,42,530,
img1_r04_c14.png,4,14,1960,516,21,35,239,
img1_r04_c15.png,4,15,2017,501,23,48,744,
img1_r04_c16.png,4,16,2073,489,25,51,493,
img1_r05_c00.png,5,0,400,593,26,26,485,
img1_r05_c01.png,5,1,644,585,21,30,233,
img1_r05_c02.png,5,2,691,574,33,41,431,
img1_r05_c03.png,5,3,793,592,23,32,370,
img1_r05_c04.png,5,4,878,586,17,44,392,
img1_r05_c05.png,5,5,971,601,15,37,218,
img1_r05_c06.png,5,6,1057,593,23,44,634,
img1_r05_c07.png,5,7,1093,591,27,51,557,
img1_r05_c08.png,5,8,1384,591,20,24,358,
img1_r05_c09.png,5,9,1574,601,26,24,215,
img1_r05_c10.png,5,10,1653,585,24,37,305,
img1_r05_c11.png,5,11,1750,591,30,36,386,
img1_r05_c12.png,5,12,1831,587,28,38,341,
img1_r05_c13.png,5,13,1888,584,20,43,462,
img1_r05_c14.png,5,14,1959,584,21,36,263,
img1_r05_c15.png,5,15,2020,575,23,51,786,
img1_r05_c16.png,5,16,2067,568,28,52,608,
img1_r06_c00.png,6,0,404,664,20,30,411,
img1_r06_c01.png,6,1,487,654,14,42,232,
img1_r06_c02.png,6,2,598,668,28,25,247,
img1_r06_c03.png,6,3,665,660,19,35,263,
img1_r06_c04.png,6,4,701,653,29,42,420,
img1_r06_c05.png,6,5,789,672,26,35,332,
img1_r06_c06.png,6,6,889,658,25,48,576,
img1_r06_c07.png,6,7,986,671,30,50,387,
img1_r06_c08.png,6,8,1069,670,23,48,739,
img1_r06_c09.png,6,9,1102,669,21,46,442,
img1_r06_c10.png,6,10,1378,655,21,26,418,
img1_r06_c11.png,6,11,1578,655,26,29,227,
img1_r06_c12.png,6,12,1657,656,22,32,253,
img1_r06_c13.png,6,13,1751,650,34,44,388,
img1_r06_c14.png,6,14,1826,664,23,31,277,
img1_r06_c15.png,6,15,1885,653,19,40,362,
img1_r06_c16.png,6,16,1954,654,22,37,245,
img1_r06_c17.png,6,17,2015,644,23,49,753,
img1_r06_c18.png,6,18,2070,637,25,49,546,
img1_r07_c00.png,7,0,383,746,36,29,735,
img1_r07_c01.png,7,1,587,748,27,36,300,
img1_r07_c02.png,7,2,657,743,21,43,374,
img1_r07_c03.png,7,3,700,741,32,47,621,
img1_r07_c04.png,7,4,785,749,34,47,513,
img1_r07_c05.png,7,5,1058,743,26,50,852,
img1_r07_c06.png,7,6,1106,739,22,50,567,
img1_r07_c07.png,7,7,1380,732,22,28,439,
img1_r07_c08.png,7,8,1578,733,23,26,205,
img1_r07_c09.png,7,9,1658,730,18,31,263,
img1_r07_c10.png,7,10,1753,732,33,39,377,
img1_r07_c11.png,7,11,1828,735,28,33,303,
img1_r07_c12.png,7,12,1889,721,23,46,572,
img1_r07_c13.png,7,13,1953,726,25,36,247,
img1_r07_c14.png,7,14,2015,720,21,48,605,
img1_r07_c15.png,7,15,2065,709,28,49,577,
img1_r08_c00.png,8,0,880,751,28,45,690,
img1_r08_c01.png,8,1,985,755,29,41,392,
img1_r08_c02.png,8,2,2031,790,22,43,585,
img1_r08_c03.png,8,3,2093,775,24,50,550,
img1_r09_c00.png,9,0,374,818,30,32,621,
img1_r09_c01.png,9,1,482,815,13,34,218,
img1_r09_c02.png,9,2,577,823,31,38,371,
img1_r09_c03.png,9,3,673,814,32,50,704,
img1_r09_c04.png,9,4,715,820,30,49,653,
img1_r09_c05.png,9,5,889,823,19,45,501,
img1_r09_c06.png,9,6,990,822,25,36,324,
img1_r09_c07.png,9,7,1054,810,28,55,963,
img1_r09_c08.png,9,8,1098,808,21,60,471,
img1_r09_c09.png,9,9,1390,814,21,20,309,
img1_r09_c10.png,9,10,1467,803,14,33,204,
img1_r09_c11.png,9,11,1579,814,29,28,298,
img1_r09_c12.png,9,12,1653,806,21,41,371,
img1_r09_c13.png,9,13,1752,798,36,49,619,
img1_r09_c14.png,9,14,1841,793,28,43,446,
img1_r09_c15.png,9,15,1901,794,21,45,525,
img1_r09_c16.png,9,16,1965,801,29,44,379,
img1_r10_c00.png,10,0,798,831,30,47,567,
img1_r10_c01.png,10,1,2099,862,28,45,565,
img1_r11_c00.png,11,0,369,913,30,30,636,
img1_r11_c01.png,11,1,480,900,10,45,271,
img1_r11_c02.png,11,2,568,910,29,34,353,
img1_r11_c03.png,11,3,663,908,20,39,329,
img1_r11_c04.png,11,4,709,906,32,48,578,
img1_r11_c05.png,11,5,893,905,23,51,643,
img1_r11_c06.png,11,6,988,904,28,48,455,
img1_r11_c07.png,11,7,1055,894,29,53,897,
img1_r11_c08.png,11,8,1109,889,30,53,656,
img1_r11_c09.png,11,9,1371,888,24,32,388,
img1_r11_c10.png,11,10,1585,877,30,34,346,
img1_r11_c11.png,11,11,1658,885,23,38,462,
img1_r11_c12.png,11,12,1752,880,34,42,613,
img1_r11_c13.png,11,13,1867,878,30,45,571,
img1_r11_c14.png,11,14,1912,876,23,45,544,
img1_r11_c15.png,11,15,1978,878,28,46,358,
img1_r11_c16.png,11,16,2040,871,22,49,714,
img1_r12_c00.png,12,0,796,914,37,45,595,
img1_r13_c00.png,13,0,369,1000,22,24,364,
img1_r13_c01.png,13,1,457,995,12,34,219,
img1_r13_c02.png,13,2,572,996,28,33,341,
img1_r13_c03.png,13,3,668,984,16,42,361,
img1_r13_c04.png,13,4,707,986,40,45,557,
img1_r13_c05.png,13,5,792,989,38,39,648,
img1_r13_c06.png,13,6,882,984,25,43,576,
img1_r13_c07.png,13,7,1000,987,24,46,395,
img1_r13_c08.png,13,8,1068,984,24,49,660,
img1_r13_c09.png,13,9,1110,970,30,57,810,
img1_r13_c10.png,13,10,1391,983,28,44,907,
img1_r13_c11.png,13,11,1582,973,31,40,408,
img1_r13_c12.png,13,12,1673,981,28,41,509,
img1_r13_c13.png,13,13,1767,971,38,53,690,
img1_r13_c14.png,13,14,1871,975,33,42,587,
img1_r13_c15.png,13,15,1926,964,23,56,675,
img1_r13_c16.png,13,16,1989,965,33,48,448,
img1_r13_c17.png,13,17,2060,954,22,50,736,
img1_r13_c18.png,13,18,2098,950,32,58,602,
img1_r14_c00.png,14,0,368,1076,30,42,923,
img1_r14_c01.png,14,1,541,1083,34,30,318,
img1_r14_c02.png,14,2,654,1074,21,39,336,
img1_r14_c03.png,14,3,721,1064,38,58,703,
img1_r14_c04.png,14,4,808,1070,29,45,550,
img1_r14_c05.png,14,5,898,1067,30,57,949,
img1_r14_c06.png,14,6,987,1071,24,41,386,
img1_r14_c07.png,14,7,1063,1054,31,59,1061,
img1_r14_c08.png,14,8,1115,1058,27,60,581,
img1_r14_c09.png,14,9,1399,1071,26,42,819,
img1_r14_c10.png,14,10,1477,1077,13,34,200,
img1_r14_c11.png,14,11,1584,1076,31,36,442,
img1_r14_c12.png,14,12,1679,1076,19,38,352,
img1_r14_c13.png,14,13,1777,1084,40,44,581,
img1_r14_c14.png,14,14,1876,1078,32,43,531,
img1_r14_c15.png,14,15,1935,1066,25,56,668,
img1_r14_c16.png,14,16,2000,1070,30,51,454,
img1_r14_c17.png,14,17,2069,1058,23,57,861,
img1_r14_c18.png,14,18,2108,1058,27,60,580,
img1_r15_c00.png,15,0,379,1173,25,26,460,
img1_r15_c01.png,15,1,550,1176,28,30,319,
img1_r15_c02.png,15,2,654,1169,20,44,434,
img1_r15_c03.png,15,3,724,1166,39,43,838,
img1_r15_c04.png,15,4,807,1173,35,45,785,
img1_r15_c05.png,15,5,898,1166,26,52,786,
img1_r15_c06.png,15,6,999,1171,29,48,547,
img1_r15_c07.png,15,7,1074,1165,24,51,812,
img1_r15_c08.png,15,8,1114,1153,32,63,830,
img1_r15_c09.png,15,9,1186,1152,25,27,317,
img1_r15_c10.png,15,10,1210,1153,52,53,925,
img1_r15_c11.png,15,11,1259,1156,113,51,2232,
img1_r15_c12.png,15,12,1374,1141,147,127,2858,
img1_r15_c13.png,15,13,1474,1168,25,42,369,
img1_r15_c14.png,15,14,1567,1180,37,34,454,
img1_r15_c15.png,15,15,1662,1177,26,45,470,
img1_r15_c16.png,15,16,1767,1174,43,48,662,
img1_r15_c17.png,15,17,1871,1172,40,39,712,
img1_r15_c18.png,15,18,1934,1159,27,53,671,
img1_r15_c19.png,15,19,1988,1166,37,47,526,
img1_r15_c20.png,15,20,2069,1157,31,53,989,
img1_r15_c21.png,15,21,2114,1150,28,57,625,
img1_r16_c00.png,16,0,364,1259,24,33,518,
img1_r16_c01.png,16,1,464,1264,10,38,208,
img1_r16_c02.png,16,2,531,1275,25,30,304,
img1_r16_c03.png,16,3,637,1274,21,38,315,
img1_r16_c04.png,16,4,730,1261,31,50,742,
img1_r16_c05.png,16,5,820,1265,36,44,598,
img1_r16_c06.png,16,6,912,1254,26,53,666,
img1_r16_c07.png,16,7,1011,1255,26,40,366,
img1_r16_c08.png,16,8,1082,1248,26,68,990,
img1_r16_c09.png,16,9,1133,1241,26,53,627,
img1_r16_c10.png,16,10,1407,1275,24,24,428,
img1_r16_c11.png,16,11,1480,1267,11,44,279,
img1_r16_c12.png,16,12,1571,1282,35,26,339,
img1_r16_c13.png,16,13,1663,1283,23,38,394,
img1_r16_c14.png,16,14,1758,1282,43,48,663,
img1_r16_c15.png,16,15,1864,1278,44,42,657,
img1_r16_c16.png,16,16,1935,1265,20,55,530,
img1_r16_c17.png,16,17,2001,1266,27,51,452,
img1_r16_c18.png,16,18,2077,1255,28,51,835,
img1_r16_c19.png,16,19,2130,1250,31,58,831,
img1_r17_c00.png,17,0,1137,1300,25,27,439,
img1_r17_c01.png,17,1,1163,1301,27,27,483,
img1_r17_c02.png,17,2,1204,1299,45,18,447,
img1_r18_c00.png,18,0,367,1365,19,21,281,
img1_r18_c01.png,18,1,466,1350,17,45,302,
img1_r18_c02.png,18,2,540,1359,26,32,357,
img1_r18_c03.png,18,3,630,1377,29,38,450,
img1_r18_c04.png,18,4,731,1365,35,45,671,
img1_r18_c05.png,18,5,833,1366,24,40,442,
img1_r18_c06.png,18,6,930,1335,30,82,869,
img1_r18_c07.png,18,7,1025,1336,50,45,670,
img1_r18_c08.png,18,8,1086,1332,46,60,1480,
img1_r18_c09.png,18,9,1134,1332,55,57,1292,
img1_r18_c10.png,18,10,1201,1390,22,17,202,
img1_r18_c11.png,18,11,1208,1335,48,14,376,
img1_r18_c12.png,18,12,1404,1358,29,38,782,
img1_r18_c13.png,18,13,1470,1362,11,38,235,
img1_r18_c14.png,18,14,1566,1362,40,35,420,
img1_r18_c15.png,18,15,1663,1374,28,42,433,
img1_r18_c16.png,18,16,1757,1367,40,52,622,
img1_r18_c17.png,18,17,1862,1376,36,42,634,
img1_r18_c18.png,18,18,1927,1364,24,52,646,
img1_r18_c19.png,18,19,1995,1353,28,48,414,
img1_r18_c20.png,18,20,2070,1358,31,50,880,
img1_r18_c21.png,18,21,2127,1355,30,54,688,
img1_r19_c00.png,19,0,978,1391,33,23,272,
img1_r19_c01.png,19,1,997,1392,51,27,444,
img1_r19_c02.png,19,2,1056,1395,47,26,819,
img1_r19_c03.png,19,3,1133,1396,27,12,237,
img1_r19_c04.png,19,4,1163,1396,26,12,213,
img1_r20_c00.png,20,0,1248,1427,116,111,4195,
img1_r21_c00.png,21,0,744,1427,35,20,242,
img1_r21_c01.png,21,1,789,1427,30,23,305,
img1_r21_c02.png,21,2,905,1430,60,92,1607,
img1_r21_c03.png,21,3,911,1430,33,24,440,
img1_r21_c04.png,21,4,989,1433,29,23,323,
img1_r21_c05.png,21,5,1048,1432,24,21,327,
img1_r21_c06.png,21,6,1202,1433,45,48,486,
img1_r21_c07.png,21,7,1929,1439,22,50,518,
img1_r21_c08.png,21,8,2009,1439,28,51,415,
img1_r21_c09.png,21,9,2083,1436,25,52,801,
img1_r21_c10.png,21,10,2132,1434,31,60,684,
img1_r22_c00.png,22,0,1402,1439,180,177,6319,
img1_r23_c00.png,23,0,346,1479,28,38,789,
img1_r23_c01.png,23,1,451,1474,12,52,328,
img1_r23_c02.png,23,2,548,1490,28,26,305,
img1_r23_c03.png,23,3,639,1479,31,48,547,
img1_r23_c04.png,23,4,671,1484,26,23,345,
img1_r23_c05.png,23,5,698,1484,21,23,235,
img1_r23_c06.png,23,6,727,1466,156,62,2860,
img1_r23_c07.png,23,7,988,1453,151,72,1273,
img1_r23_c08.png,23,8,1113,1458,26,51,604,
img1_r23_c09.png,23,9,1170,1485,18,28,315,
img1_r23_c10.png,23,10,1362,1479,26,36,204,
img1_r23_c11.png,23,11,1390,1446,39,66,911,
img1_r23_c12.png,23,12,1557,1457,30,34,367,
img1_r23_c13.png,23,13,1664,1458,22,41,401,
img1_r23_c14.png,23,14,1758,1452,37,44,533,
img1_r23_c15.png,23,15,1867,1452,40,43,601,
img1_r24_c00.png,24,0,986,1526,29,14,235,
img1_r24_c01.png,24,1,1067,1530,39,15,342,
img1_r24_c02.png,24,2,1235,1551,23,30,352,
img1_r24_c03.png,24,3,1376,1515,21,34,418,
img1_r24_c04.png,24,4,1648,1544,27,48,564,
img1_r24_c05.png,24,5,1756,1545,39,40,570,
img1_r24_c06.png,24,6,1874,1533,43,42,749,
img1_r24_c07.png,24,7,1933,1520,23,54,642,
img1_r24_c08.png,24,8,2025,1523,30,47,424,
img1_r24_c09.png,24,9,2088,1523,28,47,801,
img1_r24_c10.png,24,10,2139,1509,24,53,404,
img1_r25_c00.png,25,0,347,1609,33,41,1003,
img1_r25_c01.png,25,1,433,1607,13,35,243,
img1_r25_c02.png,25,2,522,1604,38,47,570,
img1_r25_c03.png,25,3,637,1608,28,48,562,
img1_r25_c04.png,25,4,721,1597,43,64,1082,
img1_r25_c05.png,25,5,839,1579,54,63,1315,
img1_r25_c06.png,25,6,922,1555,31,79,1154,
img1_r25_c07.png,25,7,1043,1576,32,62,578,
img1_r25_c08.png,25,8,1088,1561,91,88,3775,
img1_r25_c09.png,25,9,1233,1585,27,35,494,
img1_r25_c10.png,25,10,1942,1611,20,42,475,
img1_r25_c11.png,25,11,2029,1607,30,38,357,
img1_r25_c12.png,25,12,2102,1592,27,52,762,
img1_r25_c13.png,25,13,2163,1592,28,48,527,
img1_r26_c00.png,26,0,1550,1614,186,151,6755,
img1_r27_c00.png,27,0,1233,1625,19,41,207,
img1_r27_c01.png,27,1,1757,1616,45,46,675,
img1_r27_c02.png,27,2,1868,1615,38,42,530,
img1_r28_c00.png,28,0,949,1644,131,120,4941,
img1_r28_c01.png,28,1,1067,1651,37,38,238,
img1_r28_c02.png,28,2,1949,1683,21,58,665,
img1_r28_c03.png,28,3,2030,1689,31,53,462,
img1_r28_c04.png,28,4,2109,1682,27,62,1054,
img1_r28_c05.png,28,5,2164,1685,23,53,528,
img1_r29_c00.png,29,0,1711,1696,132,158,6503,
img1_r30_c00.png,30,0,342,1720,28,32,655,
img1_r30_c01.png,30,1,420,1728,11,37,248,
img1_r30_c02.png,30,2,526,1716,39,37,465,
img1_r30_c03.png,30,3,644,1707,30,68,971,
img1_r30_c04.png,30,4,1113,1699,20,35,306,
img1_r30_c05.png,30,5,1113,1736,20,20,277,
img1_r30_c06.png,30,6,1862,1699,35,52,626,
img1_r31_c00.png,31,0,2110,1783,32,55,1014,
img1_r31_c01.png,31,1,2167,1783,32,46,531,
img1_r32_c00.png,32,0,601,1791,110,179,5461,
img1_r33_c00.png,33,0,1775,1808,13,26,276,
img1_r33_c01.png,33,1,1931,1792,38,48,759,
img1_r33_c02.png,33,2,2039,1801,35,40,390,
img1_r34_c00.png,34,0,328,1840,33,26,584,
img1_r34_c01.png,34,1,398,1846,15,32,240,
img1_r34_c02.png,34,2,491,1883,33,46,554,
img1_r34_c03.png,34,3,511,1814,109,120,4935,
img1_r34_c04.png,34,4,724,1819,16,50,374,
img1_r34_c05.png,34,5,744,1824,13,31,211,
img1_r34_c06.png,34,6,1141,1821,14,29,201,
img1_r34_c07.png,34,7,2024,1879,54,51,740,
img1_r34_c08.png,34,8,2111,1884,33,46,845,
img1_r34_c09.png,34,9,2175,1874,27,50,610,
img1_r35_c00.png,35,0,458,1916,40,59,697,
img1_r35_c01.png,35,1,1859,1914,30,39,665,
img1_r35_c02.png,35,2,1996,1898,36,41,304,
img1_r36_c00.png,36,0,320,1966,26,27,482,
img1_r36_c01.png,36,1,415,1976,37,48,409,
img1_r36_c02.png,36,2,445,1950,25,37,288,
img1_r36_c03.png,36,3,493,1957,35,23,415,
img1_r36_c04.png,36,4,2179,1965,41,64,710,
img1_r36_c05.png,36,5,2207,1984,19,43,205,
img1_r37_c00.png,37,0,1934,2089,21,41,356,
img1_r37_c01.png,37,1,2129,2075,17,31,231,
img1_r38_c00.png,38,0,149,2155,23,21,368,
img1_r38_c01.png,38,1,2632,2123,91,48,1602,
img1_r38_c02.png,38,2,2726,2127,72,51,1777,
img1_r38_c03.png,38,3,2867,2103,26,76,331,
img1_r39_c00.png,39,0,299,2196,19,22,233,
img1_r39_c01.png,39,1,2632,2184,48,23,237,
img1_r40_c00.png,40,0,2813,2238,76,36,734,
img1_r41_c00.png,41,0,107,2316,63,57,1657,
img2_r00_c00.png,0,0,2096,157,39,57,517,
img2_r00_c01.png,0,1,2161,154,25,53,581,
img2_r00_c02.png,0,2,2255,151,22,51,310,
img2_r00_c03.png,0,3,2321,133,32,61,1075,
img2_r00_c04.png,0,4,2421,129,42,46,462,
img2_r01_c00.png,1,0,1665,206,30,45,873,
img2_r01_c01.png,1,1,1750,201,11,49,213,
img2_r01_c02.png,1,2,1839,201,23,39,288,
img2_r01_c03.png,1,3,1920,187,32,41,364,
img2_r01_c04.png,1,4,2020,167,33,52,441,
img2_r02_c00.png,2,0,400,244,36,35,861,
img2_r02_c01.png,2,1,505,239,13,43,231,
img2_r02_c02.png,2,2,596,242,30,37,322,
img2_r02_c03.png,2,3,710,231,25,45,372,
img2_r02_c04.png,2,4,814,229,41,48,512,
img2_r02_c05.png,2,5,969,221,37,44,488,
img2_r02_c06.png,2,6,1065,213,30,66,884,
img2_r02_c07.png,2,7,1176,228,22,59,384,
img2_r02_c08.png,2,8,1264,219,29,66,1201,
img2_r02_c09.png,2,9,1369,222,27,69,567,
img2_r02_c10.png,2,10,2251,257,35,49,388,
img2_r02_c11.png,2,11,2326,232,36,65,1179,
img2_r02_c12.png,2,12,2419,231,36,64,595,
img2_r03_c00.png,3,0,1857,295,26,40,273,
img2_r03_c01.png,3,1,1947,273,24,53,372,
img2_r03_c02.png,3,2,2038,273,32,49,451,
img2_r03_c03.png,3,3,2092,265,42,51,538,
img2_r03_c04.png,3,4,2185,286,19,36,252,
img2_r04_c00.png,4,0,403,343,31,35,734,
img2_r04_c01.png,4,1,705,337,27,46,377,
img2_r04_c02.png,4,2,802,331,42,51,537,
img2_r04_c03.png,4,3,947,328,43,60,638,
img2_r04_c04.png,4,4,1062,331,24,66,660,
img2_r04_c05.png,4,5,1160,337,39,66,508,
img2_r04_c06.png,4,6,1263,340,26,66,1018,
img2_r04_c07.png,4,7,1340,331,28,66,752,
img2_r04_c08.png,4,8,1653,312,30,48,966,
img2_r04_c09.png,4,9,2364,330,32,72,1318,
img2_r04_c10.png,4,10,2441,327,31,24,541,
img2_r05_c00.png,5,0,583,345,37,36,374,
img2_r05_c01.png,5,1,1945,389,33,51,448,
img2_r05_c02.png,5,2,2046,363,32,68,645,
img2_r05_c03.png,5,3,2103,367,47,60,596,
img2_r05_c04.png,5,4,2198,345,27,74,870,
img2_r05_c05.png,5,5,2275,349,34,64,466,
img2_r06_c00.png,6,0,802,429,35,64,633,
img2_r06_c01.png,6,1,1645,429,31,43,477,
img2_r06_c02.png,6,2,1755,411,11,51,264,
img2_r06_c03.png,6,3,1850,407,40,33,447,
img2_r07_c00.png,7,0,372,466,34,41,1016,
img2_r07_c01.png,7,1,462,461,13,41,227,
img2_r07_c02.png,7,2,570,454,28,37,369,
img2_r07_c03.png,7,3,704,442,34,47,469,
img2_r07_c04.png,7,4,939,437,48,51,562,
img2_r07_c05.png,7,5,1046,434,26,63,835,
img2_r07_c06.png,7,6,1159,441,45,62,577,
img2_r07_c07.png,7,7,1259,434,31,65,1125,
img2_r07_c08.png,7,8,1302,434,32,68,905,
img2_r07_c09.png,7,9,2370,474,24,63,880,
img2_r07_c10.png,7,10,2450,458,15,62,251,
img2_r08_c00.png,8,0,793,527,37,56,771,
img2_r08_c01.png,8,1,1234,526,34,69,1433,
img2_r08_c02.png,8,2,1292,523,32,71,1014,
img2_r08_c03.png,8,3,1964,527,21,47,389,
img2_r08_c04.png,8,4,2039,520,31,50,674,
img2_r08_c05.png,8,5,2094,511,33,51,586,
img2_r08_c06.png,8,6,2208,497,23,58,749,
img2_r08_c07.png,8,7,2281,495,38,53,465,
img2_r09_c00.png,9,0,374,548,29,37,755,
img2_r09_c01.png,9,1,454,552,14,41,259,
img2_r09_c02.png,9,2,567,544,29,35,410,
img2_r09_c03.png,9,3,703,536,27,45,574,
img2_r09_c04.png,9,4,943,540,39,56,732,
img2_r09_c05.png,9,5,1046,534,30,62,1012,
img2_r09_c06.png,9,6,1137,537,41,68,775,
img2_r09_c07.png,9,7,1656,548,23,35,600,
img2_r09_c08.png,9,8,1777,538,11,41,255,
img2_r09_c09.png,9,9,1872,537,36,41,409,
img2_r10_c00.png,10,0,701,619,26,49,624,
img2_r10_c01.png,10,1,781,610,42,67,783,
img2_r10_c02.png,10,2,2362,614,25,65,1018,
img2_r10_c03.png,10,3,2434,595,21,31,274,
img2_r11_c00.png,11,0,370,633,28,32,614,
img2_r11_c01.png,11,1,556,626,31,31,399,
img2_r11_c02.png,11,2,945,633,50,54,806,
img2_r11_c03.png,11,3,1033,636,28,58,853,
img2_r11_c04.png,11,4,1151,644,32,66,641,
img2_r11_c05.png,11,5,1207,635,31,71,1471,
img2_r11_c06.png,11,6,1266,628,24,37,524,
img2_r11_c07.png,11,7,1641,668,25,43,771,
img2_r11_c08.png,11,8,1870,670,44,43,468,
img2_r11_c09.png,11,9,1968,660,25,45,414,
img2_r11_c10.png,11,10,2046,642,33,54,664,
img2_r11_c11.png,11,11,2098,642,35,51,580,
img2_r11_c12.png,11,12,2211,627,29,61,933,
img2_r11_c13.png,11,13,2280,620,44,69,601,
img2_r12_c00.png,12,0,363,719,33,32,738,
img2_r12_c01.png,12,1,438,719,12,35,234,
img2_r12_c02.png,12,2,564,718,30,41,477,
img2_r12_c03.png,12,3,700,727,25,47,532,
img2_r12_c04.png,12,4,786,720,33,49,657,
img2_r12_c05.png,12,5,962,736,47,61,1032,
img2_r12_c06.png,12,6,1036,733,27,52,709,
img2_r12_c07.png,12,7,1136,743,33,44,445,
img2_r12_c08.png,12,8,1213,730,24,59,965,
img2_r12_c09.png,12,9,1258,728,28,60,690,
img2_r12_c10.png,12,10,2386,734,24,68,937,
img2_r12_c11.png,12,11,2457,716,26,40,529,
img2_r13_c00.png,13,0,555,802,30,44,471,
img2_r13_c01.png,13,1,800,800,38,54,753,
img2_r13_c02.png,13,2,1748,802,17,51,298,
img2_r13_c03.png,13,3,1872,798,33,39,405,
img2_r13_c04.png,13,4,1984,788,27,44,498,
img2_r13_c05.png,13,5,2066,772,32,61,656,
img2_r13_c06.png,13,6,2143,765,39,53,529,
img2_r13_c07.png,13,7,2230,784,14,39,238,
img2_r13_c08.png,13,8,2297,764,41,56,498,
img2_r14_c00.png,14,0,366,816,23,32,520,
img2_r14_c01.png,14,1,419,811,14,33,225,
